Категория;Артикул;Наименование;Торговая марка;Форма упаковки;Жирность;Штрихкод;Вес единицы;Вес ящика;Кол. во в ящике;Срок реализации;Дистрибютер упаковка;Дистрибютер кг;Опт упаковка;Опт кг;Розница упаковка;Розница кг;Изображение
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9204;Сыр Золото Артура ;РС;круг;50%;4630118640049;7 000;" 15,0";2;180;"3 290,00 ?";" 470,00 ?";3535;505;3745;535;00034.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9229;Сыр Золото Артура ;РС;брус;50%;4630118640056;4 500;12-15;3;180;"2 137,50 ?";" 475,00 ?";2295;510;2430;540;brysGoldArtur.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9228;Сыр Золото Артура ;РС;брус;50%;4630118640070;1 000;6-7;6;180;" 480,00 ?";" 480,00 ?";515;515;545;545;brysGoldArtur.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;12377;Российский ГОСТ;РС;брус;50%;4630118640704;4 500;12-15;3;180;"2 092,50 ?";" 465,00 ?";2250;500;2385;530;ByrusRussian.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9280;Российский молодой;РС;круг;50%;4630118640209;7 000;" 15,0";2;180;"3 255,00 ?";" 465,00 ?";3500;500;3710;530;00033.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9281;Сливочный;РС;круг;50%;4630118640087;7 000;" 15,0";2;180;"3 255,00 ?";" 465,00 ?";3500;500;3710;530;00039.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;14650;Сливочный;РС;брус;50%;4630118640902;4 500;12-15;3;180;"2 092,50 ?";" 465,00 ?";2250;500;2385;530;BrysSlivochnyi.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9264;Сметанковый;РС;круг;50%;4630118640094;7 000;" 15,0";2;180;"3 255,00 ?";" 465,00 ?";3500;500;3710;530;00038.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;14649;Сметанковый;РС;брус;50%;4630118640889;4 500;12-15;3;180;"2 092,50 ?";" 465,00 ?";2250;500;2385;530;BrysSmetankovyi.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;14648;Тильзитер;РС;брус;45%;4630118640933;4 500;12-15;3;180;"2 092,50 ?";" 465,00 ?";2250;500;2385;530;BrysTilzitter.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;10468;Пошехонский;РС;брус;45%;463011864074;4 500;12-15;3;180;"2 092,50 ?";" 465,00 ?";2250;500;2385;530;BrysPashehonsky.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;10468;Костромской;РС;брус;45%;4630118640728;4 500;12-15;3;180;"2 092,50 ?";" 465,00 ?";2250;500;2385;530;BrysKostomskoy.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;10466;Голландский;РС;брус;45%;4630118640131;4 500;8-10;2;180;"2 070,00 ?";" 460,00 ?";"2227,5";495;"2362,5";525;
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9277;Гауда;РС;брус;50%;4630118640131;4 500;8-10;2;180;"2 070,00 ?";" 460,00 ?";"2227,5";495;"2362,5";525;brysGayda.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9265;Охотничий со специями;РС;круг;50%;4630118640155;7 000;" 15,0";2;180;"3 290,00 ?";" 470,00 ?";3465;505;3675;535;00037.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9249;Олдермани;РС;брус;50%;4630118640117;1 200;" 7,2";6;180;" 564,00 ?";" 470,00 ?";594;505;630;535;21.jpg
 СЫРЫ ПОЛУТВЕРДЫЕ ВЕСОВЫЕ;9250;Качиотто;РС;брус;50%;4630118640100;1 200;" 7,2";6;180;" 564,00 ?";" 470,00 ?";594;505;630;535;22.jpg
 СЫРЫ ФАСОВАННЫЕ;12948;Сыр Золото Артура ;РС;фасовка;50%;4630118641954; 200;" 2,4";12;120;" 113,22 ?";" 566,12 ?";" 118,22 ?";" 591,12 ?";" 131,38 ?";" 656,91 ?";28.jpg
 СЫРЫ ФАСОВАННЫЕ;8623;Топленое Молочко;РС;фасовка;50%;4630118640209; 200;" 2,4";12;120;" 113,22 ?";" 566,12 ?";" 118,22 ?";" 591,12 ?";" 131,38 ?";" 656,91 ?";
